Geneid	0_R1	0_R2	0_R3	0_R4	5_R1	5_R2	5_R3	15_R1	15_R2	15_R3	25_R1	25_R2	25_R3	Entity	Symbol	relative changes	negligible changes	Outlier
gene-PA5285	2937	2055	3469	2162	2425	1140	1220	312	123	220	86	20	29	host	gene-PA5285	0.9499408550339316	0	1
gene-PA4383	100	96	179	131	110	82	129	45	12	38	29	10	16	host	gene-PA4383	0.6930517013655446	0	1
gene-PA5237	965	585	963	1148	769	497	827	194	113	233	98	43	33	host	gene-PA5237	0.7764662628254786	0	1
gene-PA1359	87	47	90	90	162	76	110	46	10	32	36	5	4	host	gene-PA1359	0.7321035677247053	0	1
gene-PA2772a	8	13	21	16	21	14	16	5	0	8	3	1	1	host	gene-PA2772a	0.7415801371950301	0	1
gene-PA2585	347	248	347	457	609	313	544	198	73	190	90	17	26	host	uvrC	0.6955766361296232	0	1
gene-PA4490	210	190	223	374	266	118	250	59	18	37	43	5	8	host	gene-PA4490	0.8365014326172266	0	1
gene-PA1242	42	34	67	88	128	62	87	45	17	25	68	6	3	host	gene-PA1242	0.6748639056134008	0	1
gene-PA1654	113	69	148	173	153	137	177	62	27	50	23	13	12	host	gene-PA1654	0.6814072854255379	0	1
gene-PA0021	15	14	36	57	53	17	30	11	1	7	67	4	1	host	gene-PA0021	0.9000516588498875	0	1
gene-PA1639	150	110	158	248	236	104	245	51	20	50	32	7	10	host	gene-PA1639	0.7981629686908481	0	1
gene-PA4740	3614	2566	3038	6207	3729	1944	2911	1041	858	2016	214	191	292	host	pnp	0.762120362042799	0	1
gene-PA3053	72	53	89	79	74	44	75	18	12	22	34	9	3	host	gene-PA3053	0.6520668454624864	0	1
gene-PA0949	221	158	248	307	196	123	137	60	50	108	41	12	15	host	wrbA	0.6991205711241371	0	1
gene-PA2795	113	90	128	208	195	115	223	72	39	103	50	13	13	host	gene-PA2795	0.6427542747896392	0	1
gene-EST35_0156	0	0	0	0	1965	2466	147	70273	28986	14372	23313	9133	17301	phage	gene-EST35_0156	1.4797286524546862	0	0
gene-PA2333	34	11	26	41	49	26	54	20	12	13	27	0	4	host	gene-PA2333	0.6588152672407123	0	1
gene-PA0160	26	17	32	25	32	32	29	16	16	16	10	3	6	host	gene-PA0160	0.48357641986159106	0	1
gene-PA2680	14	9	14	27	31	9	16	9	4	4	22	1	1	host	gene-PA2680	0.7444611777129254	0	1
gene-EST35_0280	0	0	0	0	18792	8238	291	39050	19476	13165	35033	25635	30721	phage	gene-EST35_0280	0.9540392266957133	0	0
gene-PA0592	150	108	243	227	254	145	244	79	56	91	45	13	15	host	ksgA	0.6667303685486977	0	1
gene-PA0371	234	232	346	523	330	256	385	55	87	214	40	17	24	host	gene-PA0371	0.7254174598505877	0	1
gene-PA3628	273	170	176	303	162	97	175	48	19	44	30	6	3	host	gene-PA3628	0.8416077304189734	0	1
gene-PA1006	42	44	76	58	67	57	104	10	14	38	8	3	3	host	gene-PA1006	0.7567269172524833	0	1
gene-PA4500	2523	2193	3340	3432	1796	1301	3003	398	539	1227	127	112	209	host	gene-PA4500	0.7715413922714947	0	1
gene-PA2632	86	52	76	138	111	43	105	40	23	45	17	7	8	host	gene-PA2632	0.7004576889725933	0	1
gene-PA4062	29	30	73	69	153	55	70	35	39	34	31	8	3	host	gene-PA4062	0.7619094859900429	0	1
gene-PA3159	2279	1590	2737	2761	1446	1162	1911	304	479	702	134	165	250	host	wbpA	0.7631976807611472	0	1
gene-PA2258	28	11	22	34	22	25	58	4	10	13	24	8	3	host	ptxR	0.711317682477583	0	1
gene-EST35_0243	0	0	0	0	49	319	77	11759	10031	2194	287464	200858	77179	phage	gene-EST35_0243	1.9558744179702081	0	0
gene-PA0855	62	43	72	139	111	41	63	27	9	10	22	3	5	host	gene-PA0855	0.8659866202916527	0	1
gene-PA3919	57	36	88	83	101	139	166	33	38	59	52	21	13	host	gene-PA3919	0.6460045446464017	0	1
gene-PA0300	1042	716	1402	1212	746	517	691	201	144	295	91	59	56	host	spuD	0.8013044536879478	0	1
gene-PA4722	259	221	315	355	288	172	259	91	37	78	40	20	15	host	gene-PA4722	0.7177152620670695	0	1
gene-PA0447	32	27	43	46	58	204	148	6	87	101	35	54	35	host	gcdH	0.7889821002593924	0	1
gene-PA0084	1447	1081	1507	1677	1299	699	654	204	151	286	138	34	49	host	gene-PA0084	0.8355022535209079	0	1
gene-PA0225	92	51	125	82	56	40	61	12	17	26	40	5	7	host	gene-PA0225	0.7347172523828303	0	1
gene-EST35_0353	0	0	0	0	681	756	93	3659	2071	711	47023	25014	7793	phage	gene-EST35_0353	1.979581462283987	0	0
gene-PA4466	269	299	544	477	359	187	459	74	31	106	27	7	9	host	gene-PA4466	0.8533579168963221	0	1
gene-PA5438	420	267	438	569	693	343	476	135	90	176	85	25	40	host	gene-PA5438	0.7237518031381578	0	1
gene-PA0409	362	293	586	378	227	147	256	33	21	53	23	15	11	host	pilH	0.9506990770901623	0	1
gene-PA0170	123	68	154	163	137	91	56	30	15	59	14	6	4	host	gene-PA0170	0.7835245245231961	0	1
gene-PA4556	81	68	143	126	79	76	150	19	13	79	66	8	6	host	pilE	0.6716922382090651	0	1
gene-PA5486	51	54	77	112	106	73	110	31	33	50	30	14	16	host	gene-PA5486	0.5730660749838558	0	1
gene-EST35_0127	0	0	0	0	12	12	5	36	18	8	124	297	13	phage	gene-EST35_0127	1.9969482385814852	0	0
gene-PA3893	105	91	148	222	132	110	136	68	27	36	77	9	5	host	gene-PA3893	0.6676428640160311	0	1
gene-PA5432	24	12	35	40	37	14	19	11	5	5	35	1	3	host	gene-PA5432	0.7343343337968112	0	1
gene-PA4726.1	60	33	79	67	48	30	85	20	5	14	5	1	2	host	gene-PA4726.1	0.8418767160209087	0	1
gene-PA2423	70	49	94	109	85	49	93	16	9	34	21	5	5	host	gene-PA2423	0.7328222604080512	0	1
gene-PA0108	26	24	35	35	27	45	32	11	8	15	35	7	5	host	coIII	0.5330465949613529	0	1
gene-PA1944	48	42	73	43	64	45	65	11	14	32	39	5	8	host	gene-PA1944	0.5781862774642166	0	1
gene-PA2654	274	208	324	621	428	297	549	95	41	150	62	20	24	host	gene-PA2654	0.8108882480695966	0	1
gene-PA2734	631	398	781	748	629	398	573	184	117	209	67	32	62	host	gene-PA2734	0.7142862564496872	0	1
gene-PA3403	105	86	125	169	112	47	186	43	31	62	49	6	11	host	gene-PA3403	0.6921074190661958	0	1
gene-PA4625	310	237	383	381	593	343	328	209	191	219	358	66	105	host	gene-PA4625	0.4608647655355238	0	1
gene-PA4905	25	20	30	41	66	23	46	16	7	9	22	3	3	host	vanB	0.7382485405757637	0	1
gene-PA1781	28	11	48	16	27	20	28	18	6	20	60	4	6	host	nirB	0.7018960729367121	0	1
gene-PA3548	24	8	44	18	28	18	36	8	2	10	54	2	1	host	algI	0.8393976514464546	0	1
gene-PA1797	90	63	75	101	380	149	151	195	90	140	101	40	42	host	gene-PA1797	0.6889151284802063	0	1
gene-PA0764	903	613	926	1292	2574	879	2399	676	434	1055	189	149	163	host	mucB	0.7878340748120248	0	1
gene-PA4650	10	4	13	12	7	12	15	2	2	5	58	2	3	host	gene-PA4650	1.2775571219175241	0	1
gene-PA4157	198	141	181	247	243	124	159	82	38	57	47	9	8	host	gene-PA4157	0.6865493177828722	0	1
gene-PA2328	55	22	40	39	47	33	47	18	8	16	21	3	3	host	gene-PA2328	0.6238108522131071	0	1
gene-EST35_0192	0	0	0	0	410	1608	132	16791	19792	5424	49263	34181	53506	phage	gene-EST35_0192	1.3562388039659103	0	0
gene-PA3186	444	213	280	287	283	157	194	103	41	91	62	16	16	host	oprB	0.7421655870095235	0	1
gene-PA0106	49	43	84	53	71	61	55	20	13	31	80	13	8	host	coxA	0.5584766962360314	0	1
gene-PA4073	27	17	32	28	42	27	29	12	9	10	35	3	2	host	gene-PA4073	0.5891631389149031	0	1
gene-PA5498	162	160	247	325	251	147	254	99	41	95	68	11	18	host	gene-PA5498	0.6702618544516168	0	1
gene-PA4118	322	188	398	415	285	149	272	69	22	61	52	9	7	host	gene-PA4118	0.8327126165832147	0	1
gene-PA5077	1166	1147	1650	2350	1605	969	1938	341	250	536	173	85	86	host	mdoH	0.7797646154273871	0	1
gene-PA1840	78	46	110	106	108	70	85	25	24	42	15	4	4	host	gene-PA1840	0.6931842096216885	0	1
gene-PA4029	86	127	188	216	126	113	189	20	45	107	31	11	6	host	gene-PA4029	0.7084935860192553	0	1
gene-PA5570	2447	1844	3927	3391	3046	2202	3460	447	574	1538	45	95	185	host	rpmH	0.7603773232795258	0	1
gene-EST35_0103	0	0	0	0	1395	4296	5318	208	2584	3068	199	1728	1434	phage	gene-EST35_0103	1.1046776879989046	0	0
gene-PA0815	94	66	93	117	113	72	126	37	20	24	66	5	6	host	gene-PA0815	0.6370252892710785	0	1
gene-PA1991	94	64	121	102	84	61	142	41	16	24	33	4	6	host	gene-PA1991	0.7099643172025246	0	1
gene-PA4285	689	448	735	961	1139	543	988	420	109	277	170	22	23	host	recC	0.7265663681557863	0	1
gene-PA1089	193	85	180	214	155	157	420	31	29	86	17	6	8	host	gene-PA1089	0.9265244429525963	0	1
gene-PA4129	140	74	127	148	179	176	150	156	38	77	61	15	16	host	gene-PA4129	0.5502436659033753	0	1
gene-PA3358	42	24	39	54	41	38	40	10	10	17	14	2	0	host	gene-PA3358	0.6682271359540852	0	1
gene-PA2432	51	37	62	113	52	28	37	21	14	10	22	4	2	host	bexR	0.8308084199644582	0	1
gene-PA4715	358	269	478	519	556	310	352	147	70	129	115	20	16	host	gene-PA4715	0.7055608171411156	0	1
gene-PA1379	26	13	18	23	24	10	29	8	5	4	26	2	1	host	gene-PA1379	0.6753445454225968	0	1
gene-EST35_0057	0	0	0	0	60	2646	267	17	6100	7356	14	2500	4475	phage	gene-EST35_0057	1.3968229155150602	0	0
gene-PA4491	804	644	827	1260	1334	566	991	370	73	141	118	30	20	host	gene-PA4491	0.8143937156655751	0	1
gene-PA3302	144	130	209	277	137	140	177	22	28	65	23	6	11	host	gene-PA3302	0.7890451123044976	0	1
gene-PA3285	223	143	215	319	289	135	268	82	38	81	41	12	12	host	gene-PA3285	0.7335219092777282	0	1
gene-PA2049	113	92	156	183	191	92	202	49	32	68	35	8	6	host	gene-PA2049	0.7099470622089283	0	1
gene-EST35_0259	0	0	0	0	207	206	24	45675	28787	8200	186906	96198	39574	phage	gene-EST35_0259	1.687563488804017	0	0
gene-PA4651	32	24	34	57	43	20	32	23	8	7	24	0	3	host	gene-PA4651	0.6700603637314603	0	1
gene-PA4168	98	68	124	107	138	92	141	50	26	34	126	15	16	host	fpvB	0.569538788092538	0	1
gene-PA4238	7495	6308	9430	12935	11089	7067	8087	2118	3326	5922	395	773	1142	host	rpoA	0.6665673659839136	0	1
gene-PA1013.1	1620	1802	5443	3473	4048	2167	1812	3562	370	602	1354	125	180	host	gene-PA1013.1	0.7767837042785694	0	1
gene-PA3476	257	168	410	308	275	187	261	42	28	97	40	8	13	host	rhlI	0.7936339203855739	0	1
gene-PA4050	440	299	542	510	736	401	724	321	86	193	111	16	23	host	pgpA	0.7016075246177274	0	1
gene-PA1905	14	3	18	21	17	9	21	3	3	5	23	0	0	host	phzG2	0.793575353280402	0	1
gene-PA2459	28	26	59	44	26	32	53	10	17	5	74	6	3	host	gene-PA2459	0.7314620361434423	0	1
gene-PA5009	439	342	535	698	657	263	477	152	94	134	68	15	21	host	waaP	0.7742890284420824	0	1
gene-PA1159	18661	8064	15972	11044	7332	2872	4257	1275	267	824	199	53	79	host	gene-PA1159	1.1213700078712687	0	1
gene-PA4445	425	328	521	606	365	223	338	75	42	91	57	9	12	host	gene-PA4445	0.8309632717502056	0	1
gene-PA1642	253	193	299	423	480	225	341	172	52	117	58	18	12	host	selD	0.7210364535363752	0	1
gene-PA2806	806	663	873	1477	837	480	1108	153	85	350	51	23	30	host	gene-PA2806	0.8459109273152023	0	1
gene-PA2900	484	328	482	550	721	353	476	233	109	212	93	38	30	host	gene-PA2900	0.6630825976129371	0	1
gene-PA1931	14	12	13	21	35	16	24	15	7	5	17	3	2	host	gene-PA1931	0.6208034917953755	0	1
gene-PA2496	0	0	0	0	0	1	0	0	0	0	0	0	0	host	gene-PA2496	3.464101615137755	0	1
gene-PA3821	2456	2554	3777	5062	1926	1180	2598	448	277	607	155	83	82	host	secD	0.9373559070250708	0	1
gene-EST35_0397	0	0	0	0	3686	1277	672	4826	917	860	3812	1635	1570	phage	gene-EST35_0397	1.0541102168354142	0	0
gene-PA2945	424	295	450	565	237	243	279	53	40	96	39	9	11	host	gene-PA2945	0.8514743419967521	0	1
gene-PA2812	131	107	230	195	190	75	83	63	80	46	57	16	15	host	gene-PA2812	0.6668834360106837	0	1
gene-PA3296	13	10	27	20	30	12	27	10	6	15	52	3	3	host	phoA	0.7509868341005089	0	1
gene-PA1190	29	31	49	28	33	28	33	5	6	7	17	3	4	host	gene-PA1190	0.6785955268518336	0	1
gene-PA2212	8	12	13	7	17	6	10	5	1	5	13	2	0	host	gene-PA2212	0.6525909214227512	0	1
gene-PA4014	93	69	90	105	80	87	143	25	22	35	16	6	9	host	gene-PA4014	0.6989002349846066	0	1
gene-PA2520	154	149	248	248	211	189	292	87	52	81	83	19	14	host	czcA	0.6301164904907957	0	1
gene-PA2119	71	60	73	148	132	64	127	34	15	39	20	8	7	host	gene-PA2119	0.755411504522497	0	1
gene-PA3918	88	67	144	177	164	71	130	86	17	40	29	6	4	host	moaC	0.7292434854520642	0	1
gene-EST35_0414	0	0	0	0	8843	1719	165	22965	5633	4766	14499	7012	4881	phage	gene-EST35_0414	1.2149567609443601	0	0
gene-PA1796.3	1220	499	683	836	1330	419	641	637	154	313	143	31	74	host	gene-PA1796.3	0.7422487194116919	0	1
gene-PA3433	113	77	135	130	142	69	98	36	14	21	41	6	7	host	gene-PA3433	0.7170411764356777	0	1
gene-PA4252	3216	2807	4028	5801	4391	3954	2482	1061	1668	2638	298	389	562	host	rplX	0.6436075804637683	0	1
gene-EST35_0141	0	0	0	0	20	70	6	110	61	36	1057	1344	101	phage	gene-EST35_0141	1.9709050746962307	0	0
gene-PA3274	14	2	7	25	27	14	18	9	3	6	20	0	1	host	gene-PA3274	0.784956608649764	0	1
gene-PA5039	2364	1664	2478	3249	2164	1157	2192	817	166	420	180	35	73	host	aroK	0.814221070802973	0	1
gene-PA3533	724	609	1314	990	471	497	640	68	138	256	30	26	48	host	gene-PA3533	0.8721456000586103	0	1
gene-PA5040	2015	1573	2572	2535	999	965	2083	239	186	391	149	64	64	host	pilQ	0.8797473994221353	0	1
gene-PA5164	450	343	648	714	474	273	454	165	95	205	56	18	29	host	rmlC	0.7426763067362895	0	1
gene-PA0805	969	602	1558	932	1439	811	1831	398	292	341	259	194	276	host	gene-PA0805	0.6982177577649867	0	1
gene-PA1239	17	16	20	18	16	14	12	6	3	2	23	2	1	host	gene-PA1239	0.6437390775772434	0	1
gene-PA3555	127	83	60	258	201	36	75	71	8	15	15	2	2	host	arnD	1.0444071868095033	0	1
gene-EST35_0251	0	0	0	0	1078	2050	74	69103	29410	21730	59478	34105	27376	phage	gene-EST35_0251	1.2319019177896295	0	0
gene-PA2997	271	269	419	469	408	233	294	179	121	261	61	17	27	host	nqrC	0.609634999846165	0	1
gene-PA5396	132	48	156	127	87	67	81	22	12	18	73	7	4	host	gene-PA5396	0.7691619888588654	0	1
gene-PA0599	147	138	190	235	258	161	214	87	40	62	69	10	8	host	gene-PA0599	0.6552493618468606	0	1
gene-EST35_0454	0	0	0	0	19	2429	67	50	3595	3411	7	853	2155	phage	gene-EST35_0454	1.3932387861175144	0	0
gene-PA3760	108	102	164	154	195	96	138	85	66	53	80	16	22	host	gene-PA3760	0.5248342366701718	0	1
gene-PA1277	382	295	377	690	515	374	359	129	61	100	69	9	10	host	cobQ	0.7911856253740229	0	1
gene-PA1160	270	185	225	403	447	130	259	131	29	64	38	8	15	host	gene-PA1160	0.8246642026890789	0	1
gene-PA2104	56	22	62	57	63	39	64	14	19	28	15	7	7	host	gene-PA2104	0.6255854092133025	0	1
gene-PA2281	77	64	101	105	153	75	136	41	14	48	26	10	9	host	gene-PA2281	0.6904524362317973	0	1
gene-PA4574	241	356	837	649	264	294	365	41	93	171	30	20	29	host	gene-PA4574	0.9233287150181471	0	1
gene-PA3509	6	2	11	10	22	3	14	6	3	6	12	0	2	host	gene-PA3509	0.793077714099666	0	1
gene-PA4083	2	0	11	9	8	2	13	4	4	6	28	2	0	host	cupB4	1.0639209495519835	0	1
gene-PA4817	14	17	31	31	23	14	11	5	1	13	35	2	3	host	gene-PA4817	0.7231528192574513	0	1
gene-PA0263.1	603	493	1289	887	1616	850	1375	456	95	297	137	21	38	host	gene-PA0263.1	0.8254228371736556	0	1
gene-PA5200	254	208	325	389	370	230	280	155	110	180	54	44	44	host	amgR	0.5639510885733848	0	1
gene-PA5183a	885	560	783	807	956	203	502	214	32	97	63	5	19	host	gene-PA5183a	0.8918507303773971	0	1
gene-PA1373	89	53	109	153	159	52	114	63	22	40	65	2	20	host	fabF2	0.6588718247552351	0	1
gene-PA1565	57	51	59	102	99	24	155	22	16	47	19	3	10	host	gene-PA1565	0.8349025965755624	0	1
gene-PA4524	424	357	519	714	400	235	556	115	61	119	57	13	15	host	nadC	0.8151152639273261	0	1
gene-PA2958	134	118	270	210	227	151	251	66	27	55	35	8	13	host	gene-PA2958	0.7549411926167009	0	1
gene-PA3374	50	32	69	77	108	43	82	42	7	24	29	2	2	host	gene-PA3374	0.7238951237067721	0	1
gene-PA1628	28	16	35	37	41	16	22	19	4	9	26	1	1	host	gene-PA1628	0.6615489844475081	0	1
gene-PA3523	13	16	22	19	19	17	19	9	2	8	32	2	1	host	gene-PA3523	0.6351540107202668	0	1
gene-EST35_0181	0	0	0	0	838	1175	53	23011	14190	4867	13726	8187	15102	phage	gene-EST35_0181	1.2034105089546152	0	0
gene-PA2592	100	86	160	172	189	78	107	35	19	49	27	5	15	host	gene-PA2592	0.7523869911652584	0	1
gene-PA3152	239	186	350	231	69	83	234	20	21	20	24	9	7	host	hisH2	0.9793761577018796	0	1
gene-PA5158	64	41	73	130	135	94	120	74	25	21	72	9	5	host	gene-PA5158	0.6473641004743959	0	1
gene-PA2246	55	40	89	77	39	35	71	19	9	23	23	4	1	host	bkdR	0.7316014809741336	0	1
gene-PA3111	1322	874	1321	1898	1604	729	1890	638	247	611	154	49	65	host	folC	0.7352832015660048	0	1
gene-PA4690a	219	200	433	345	229	168	207	77	29	67	70	15	30	host	gene-PA4690a	0.7710794168699546	0	1
gene-PA1448	124	88	153	155	146	96	183	25	16	47	37	4	5	host	fliR	0.7435869841527892	0	1
gene-PA3566	9	6	23	21	7	18	18	4	2	6	35	3	2	host	gene-PA3566	0.8289845487224575	0	1
gene-PA4451	1504	948	1601	1470	2831	1051	1855	1668	383	806	503	88	130	host	gene-PA4451	0.6594666822470762	0	1
gene-PA2732	1009	670	1309	1196	1087	667	1043	275	163	279	143	52	71	host	gene-PA2732	0.7376247442241851	0	1
gene-PA2475	17	25	40	49	37	23	38	10	0	10	24	4	2	host	gene-PA2475	0.7154825745966547	0	1
gene-PA3113	960	603	882	1277	1205	487	1075	400	103	231	117	20	36	host	trpF	0.7815649415096347	0	1
gene-PA4470	81	65	86	94	86	53	83	22	13	37	66	5	10	host	fumC1	0.5822528996200153	0	1
gene-PA1729	123	80	124	162	142	87	160	24	21	44	24	9	10	host	gene-PA1729	0.7291835544045931	0	1
gene-PA5191	71	51	118	100	75	46	55	15	13	20	25	4	4	host	gene-PA5191	0.7726465427418197	0	1
gene-PA1880	48	35	53	66	84	66	65	24	21	26	48	9	9	host	gene-PA1880	0.5398711473481701	0	1
gene-PA5309	312	158	224	220	334	146	240	106	36	86	93	13	16	host	gene-PA5309	0.6740473722292114	0	1
gene-PA0329	449	219	457	590	865	284	756	276	259	374	68	76	77	host	gene-PA0329	0.6664270298761783	0	1
gene-PA2054	66	36	66	83	100	41	62	39	10	8	48	3	3	host	cynR	0.6953567627401408	0	1
gene-PA0382	882	633	925	1228	922	517	1018	282	80	228	72	13	24	host	micA	0.7938965956828579	0	1
gene-PA1719	36	17	36	26	25	20	39	4	3	22	5	2	1	host	pscF	0.7418280254242202	0	1
gene-PA5454	222	117	253	163	143	98	193	33	35	43	47	9	9	host	rmd	0.765841477964149	0	1
gene-PA4275	6741	4672	7589	7525	7194	3015	5836	1237	904	2223	260	193	358	host	nusG	0.7867376194376857	0	1
gene-PA1132	278	140	257	322	126	48	172	30	13	42	47	4	6	host	gene-PA1132	0.939858446878527	0	1
gene-PA4413	1112	857	1390	1423	1881	1296	2145	573	303	429	145	75	83	host	ftsW	0.7435052321966495	0	1
gene-PA4133	103	108	189	213	92	125	130	29	32	52	50	14	11	host	gene-PA4133	0.7048163427755829	0	1
gene-PA4868	143	91	165	169	331	102	172	122	40	53	102	27	13	host	ureC	0.6853962634375299	0	1
gene-PA1425	243	187	349	404	178	108	191	45	21	42	53	2	5	host	gene-PA1425	0.9014699847140535	0	1
gene-PA3462	20	12	56	27	46	25	27	27	7	13	43	3	2	host	gene-PA3462	0.6816635569875693	0	1
gene-PA2502	165	134	192	253	260	128	175	67	23	50	30	7	8	host	gene-PA2502	0.7563511819119316	0	1
gene-PA2044	263	179	310	447	347	172	233	87	41	101	62	11	22	host	gene-PA2044	0.7553904663628602	0	1
gene-PA5391	3	2	10	6	23	4	10	7	3	4	26	2	0	host	gene-PA5391	1.0061808982484213	0	1
gene-EST35_0342	0	0	0	0	133	263	18	429	447	167	15645	2515	1420	phage	gene-EST35_0342	2.539617366515785	0	0
gene-PA4921	164	107	148	257	261	113	343	1406	649	1314	214	70	176	host	gene-PA4921	1.0770873109058903	0	1
gene-PA1548	51	44	72	138	96	51	129	19	15	27	5	6	4	host	gene-PA1548	0.8748209133957692	0	1
gene-PA4387	97	128	293	167	474	101	88	229	179	52	58	40	23	host	gene-PA4387	0.8117212718205357	0	1
gene-PA3410	79	75	105	94	51	54	138	14	12	19	35	3	3	host	gene-PA3410	0.7921851946025308	0	1
gene-PA5527	225	219	360	311	234	132	233	41	43	85	39	14	16	host	gene-PA5527	0.7638262979306051	0	1
gene-PA3547	11	5	11	8	19	10	20	2	0	7	27	0	1	host	algL	0.8681227140501617	0	1
gene-PA0313	157	153	247	267	202	116	148	98	47	69	67	12	7	host	gene-PA0313	0.6545076061278234	0	1
gene-PA0733	40	34	35	50	71	35	65	28	11	23	50	3	2	host	gene-PA0733	0.6008617047397452	0	1
gene-EST35_0220	0	0	0	0	27	262	41	5288	5026	299	70561	32683	17131	phage	gene-EST35_0220	1.9545185115448005	0	0
gene-PA0738	5	5	15	13	7	4	10	5	2	2	21	1	0	host	gene-PA0738	0.8600889991272724	0	1
gene-PA3301	83	81	154	156	134	116	180	20	21	57	19	2	6	host	gene-PA3301	0.770513237101572	0	1
gene-PA5261	564	336	531	629	737	406	949	148	174	387	68	51	61	host	algR	0.7063749529385344	0	1
gene-PA4648	7	11	19	20	9	14	17	1	2	8	25	4	1	host	gene-PA4648	0.7122123116119197	0	1
gene-EST35_0017	0	0	0	0	178	2043	128	721	2084	1965	752	978	1609	phage	gene-EST35_0017	1.013623405462494	0	0
gene-PA3512	7	4	12	11	14	8	25	6	5	6	18	3	1	host	gene-PA3512	0.6971170792788126	0	1
gene-PA3472	208	243	408	396	183	138	194	28	49	89	28	13	13	host	gene-PA3472	0.8563041141679817	0	1
gene-PA4193	37	3	21	29	15	13	21	3	4	4	13	0	5	host	gene-PA4193	0.8473732254561472	0	1
gene-PA4518	37	28	23	36	24	31	36	5	5	7	13	1	3	host	gene-PA4518	0.6974089560276303	0	1
gene-PA4482	85	90	163	178	88	74	93	19	17	68	27	7	7	host	gatC	0.7571950408040665	0	1
gene-PA0737	15	13	18	31	19	24	34	3	7	13	19	5	3	host	gene-PA0737	0.610407305040581	0	1
gene-EST35_0351	0	0	1	0	195	451	40	27247	24140	3180	24716	14370	34212	phage	gene-EST35_0351	1.2705606634938291	0	0
gene-PA5349	420	283	404	503	401	266	340	102	48	98	67	26	20	host	gene-PA5349	0.7320225998802603	0	1
gene-PA2750	58	32	42	80	108	41	60	28	10	24	17	0	6	host	gene-PA2750	0.7670174089314398	0	1
gene-PA1796.4	875	267	510	631	634	443	568	331	67	176	69	34	50	host	gene-PA1796.4	0.7358671168144603	0	1
gene-PA0020	1356	1107	2035	2081	704	517	851	100	79	156	117	26	23	host	gene-PA0020	1.014831176027605	0	1
gene-PA2308	4	1	9	3	8	3	13	7	2	3	25	0	1	host	gene-PA2308	1.0770656904396276	0	1
gene-PA2951	2115	1336	1764	2444	2831	2028	1151	474	359	560	142	160	88	host	etfA	0.7791307946068591	0	1
gene-PA2304	43	22	35	52	82	44	47	25	12	26	25	3	6	host	ambC	0.6363518951157967	0	1
gene-PA1821	669	479	906	774	510	346	515	117	45	119	26	12	23	host	gene-PA1821	0.8650486887002969	0	1
gene-PA2293	2	11	16	23	34	14	16	8	2	3	7	0	0	host	gene-PA2293	0.9264705882352942	0	1
gene-EST35_0001	0	0	0	0	189	1403	361	1397	1496	1391	1091	1415	2038	phage	gene-EST35_0001	0.8633456621392801	0	0
gene-EST35_0108	0	0	0	0	8	152	5	283	898	816	162	383	788	phage	gene-EST35_0108	1.2335660248932365	0	0
gene-PA1614	221	176	264	349	302	185	294	71	53	145	19	28	20	host	gpsA	0.6897949790220915	0	1
gene-PA4130	304	188	301	322	369	408	403	323	103	183	145	51	47	host	gene-PA4130	0.5117684508205723	0	1
gene-PA2192	1	3	0	4	2	1	3	1	2	0	9	0	0	host	gene-PA2192	1.192927878405448	0	1
gene-PA3431	32	31	66	67	95	52	96	63	9	11	51	1	2	host	gene-PA3431	0.7145526259464124	0	1
gene-PA0897	418	272	480	444	463	199	327	137	65	131	46	13	10	host	aruG	0.7445512774626774	0	1
gene-PA1237	7	8	8	15	26	8	13	9	0	1	37	0	0	host	gene-PA1237	1.0299130277900916	0	1
gene-PA1483	633	460	614	1047	1897	591	917	1126	157	308	319	26	51	host	cycH	0.7994450623658544	0	1
gene-PA0609	494	298	521	611	633	383	641	164	85	180	97	31	33	host	trpE	0.71051563082945	0	1
gene-PA3531	1002	787	1285	921	734	592	1983	153	314	767	43	80	106	host	bfrB	0.7976609876769397	0	1
gene-PA4002	621	496	930	866	900	552	922	237	146	291	124	46	75	host	rodA	0.6957042384102105	0	1
gene-PA0436	74	86	130	164	119	85	137	22	17	49	29	8	9	host	gene-PA0436	0.7218784516114739	0	1
gene-PA0564	37	35	68	48	72	41	84	17	10	18	42	4	2	host	gene-PA0564	0.6898565303941405	0	1
gene-PA0285	286	253	457	519	415	253	443	108	77	193	116	20	20	host	gene-PA0285	0.6821912886678057	0	1
gene-EST35_0244	0	0	0	0	28	162	25	7409	3726	823	127213	76177	28522	phage	gene-EST35_0244	1.9975246085212655	0	0
gene-PA5165	188	201	359	368	263	214	312	65	44	86	94	12	13	host	gene-PA5165	0.7199016388602791	0	1
gene-PA1053	5057	3660	6160	11699	3069	584	1867	643	172	398	185	50	59	host	gene-PA1053	1.2732385452315942	0	1
gene-PA5057	69	33	74	76	54	38	77	32	17	22	35	10	10	host	phaD	0.5745174369146314	0	1
gene-PA3963a	23	19	34	57	47	17	27	21	3	3	13	3	1	host	gene-PA3963a	0.8111360151713409	0	1
gene-EST35_0066	0	0	0	0	17322	25167	21338	22320	14180	9410	7454	4298	4614	phage	gene-EST35_0066	0.9258894653502997	0	0
gene-PA2377	32	44	41	59	59	32	25	18	2	13	29	2	3	host	gene-PA2377	0.6877346505547308	0	1
gene-PA2998	624	529	870	948	679	446	621	233	216	449	88	44	67	host	nqrB	0.6465443147414042	0	1
