Geneid	0_R1	0_R2	15_R2	15_R3	60_R1	60_R2	60_R3	120_R1	120_R2	120_R3	Entity	Symbol
gene-VC_RS13910	43	33	53	54	55	31	33	57	54	56	host	tssJ
gene-VC_RS02850	2251	2187	2367	2465	2489	2317	2258	4169	4271	3596	host	gshA
gene-VC_RS04155	176	194	158	151	273	245	276	531	591	559	host	tcpT
gene-VC_RS07005	246	319	243	230	742	756	686	1529	1715	1475	host	gene-VC_RS07005
gene-VC_RS10070	3521	3847	4585	4129	2839	2635	2943	2514	2488	2341	host	sdhC
gene-VC_RS15515	1159	1101	1168	972	1803	1588	1920	2454	2615	2344	host	gene-VC_RS15515
gene-VC_RS11775	352	412	476	453	713	656	658	954	1094	859	host	gene-VC_RS11775
gene-VC_RS16190	393	383	402	434	593	579	611	632	707	569	host	gene-VC_RS16190
gene-VC_RS15885	281	291	248	283	499	489	460	985	1119	910	host	fruA
gene-VC_RS00925	824	755	688	684	982	975	994	970	897	832	host	gene-VC_RS00925
gene-VC_RS00840	380	478	413	470	711	809	671	1373	1272	1334	host	gene-VC_RS00840
gene-VC_RS03220	7810	8851	9437	9755	6911	7361	6378	73435	8225	7752	host	ftsH
gene-VC_RS18375	660	672	673	637	473	470	570	439	442	428	host	gene-VC_RS18375
gene-VC_RS17400	40	42	38	40	55	78	75	129	138	132	host	gene-VC_RS17400
gene-VC_RS17005	633	795	806	821	868	875	847	1638	1735	1534	host	viaA
gene-VC_RS10855	675	612	536	604	900	985	921	1366	1277	1356	host	lpxB
gene-VC_RS04290	159	157	187	151	442	386	404	632	706	667	host	gene-VC_RS04290
gene-VC_RS10445	1624	1656	1552	1678	2004	1884	2040	2481	2379	2221	host	gene-VC_RS10445
gene-VC_RS01875	305	312	328	338	507	511	447	614	745	584	host	gene-VC_RS01875
gene-VC_RS05030	729	899	848	996	1257	1279	1038	1729	1615	1730	host	luxO
gene-VC_RS09445	529	600	591	625	401	378	335	397	313	326	host	gene-VC_RS09445
gene-VC_RS17255	2518	1784	2144	2178	1845	1580	1698	3276	3226	2725	host	groL
gene-VC_RS04545	639	710	667	756	1030	1069	952	1442	1420	1439	host	vexH
gene-VC_RS02150	578	704	743	655	1363	1315	1232	1519	2830	1312	host	gene-VC_RS02150
gene-VC_RS07710	152	152	145	163	198	204	182	383	387	318	host	gene-VC_RS07710
gene-VC_RS11695	2952	3315	3464	3130	4131	3924	4187	4026	4772	3219	host	zapD
gene-VC_RS03530	1765	1971	2018	1906	1475	1291	1411	2482	1586	1541	host	trpR
gene-VC_RS04675	872	904	963	1023	872	830	777	926	740	788	host	gene-VC_RS04675
gene-VC_RS05105	1161	1374	1236	1092	2566	2516	2605	4121	4115	3736	host	udk
gene-VC_RS08425	451	528	479	522	837	824	864	1284	1242	1222	host	gene-VC_RS08425
gene-VC_RS05065	182	219	177	212	267	269	302	508	444	499	host	moaE
gene-VC_RS10995	542	602	568	619	843	903	833	1052	1032	1005	host	frsA
gene-VC_RS10335	178	205	250	261	218	154	177	203	153	162	host	gene-VC_RS10335
gene-VC_RS10760	8124	8327	8454	9085	11120	11054	11590	3946	3351	3011	host	purM
gene-VC_RS07545	726	798	717	711	829	882	916	1323	1401	1158	host	katG
gene-VC_RS14580	228	208	227	203	197	157	193	212	222	192	host	gene-VC_RS14580
gene-VC_RS02750	466	480	611	507	438	516	467	498	456	422	host	pncC
gene-VC_RS08070	152	185	184	192	241	275	247	393	459	357	host	gene-VC_RS08070
gene-VC_RS18270	745	736	736	814	740	695	629	825	857	762	host	gene-VC_RS18270
gene-VC_RS03770	2645	3215	3113	3248	3423	3454	3664	7195	6421	6774	host	hscA
gene-VC_RS13035	3163	3320	3522	3168	3565	3354	3758	3080	2805	2615	host	gmk
gene-VC_RS06830	485	491	510	485	762	776	744	1203	1393	1219	host	vceB
gene-VC_RS07455	292	387	324	347	612	535	685	1245	1512	1201	host	gene-VC_RS07455
gene-VC_RS16055	2495	3087	3050	3285	6455	6212	6239	7988	8186	7470	host	gene-VC_RS16055
gene-VC_RS14810	662	722	808	759	957	883	986	1295	1364	1304	host	gene-VC_RS14810
gene-VC_RS04935	4798	5433	5708	5648	4661	4535	3970	3354	3039	2930	host	accD
gene-VC_RS00795	5918	5569	6005	5611	5360	5095	5439	5096	4506	4560	host	gene-VC_RS00795
gene-VC_RS01515	2915	2225	3788	2321	2496	5255	1779	1642	638	1520	host	gene-VC_RS01515
gene-VC_RS10215	445	441	475	507	483	492	487	591	589	504	host	fliO
gene-VC_RS02325	1979	2131	2201	2008	3064	3007	3199	3112	2842	2763	host	trmB
gene-VPVV882_gp18	3372	5855	796	977	44115	43563	57754	64344	68608	66155	phage	gene-VPVV882_gp18
gene-VC_RS17165	423	525	645	552	565	529	523	695	864	681	host	gene-VC_RS17165
gene-VC_RS12895	1988	2025	2097	2005	2516	2505	2451	2334	2467	2002	host	cytR
gene-VC_RS16365	1159	1226	1374	1407	797	698	711	1046	1114	992	host	tal
gene-VC_RS09800	860	986	971	948	1151	1054	1265	1454	1594	1336	host	nhaC
gene-VC_RS13840	1280	1343	1273	1212	2095	2309	2249	3155	3101	2854	host	gene-VC_RS13840
gene-VC_RS14200	914	918	968	891	1646	1712	1677	1756	2314	1680	host	gene-VC_RS14200
gene-VC_RS03120	147	143	139	128	211	201	201	291	289	263	host	gene-VC_RS03120
gene-VC_RS09105	2101	1926	2038	1803	2362	2643	2426	2131	1925	1832	host	gene-VC_RS09105
gene-VC_RS03640	490	510	481	496	576	611	578	800	789	766	host	gene-VC_RS03640
gene-VC_RS18090	388	438	476	488	587	523	555	726	748	684	host	gene-VC_RS18090
gene-VC_RS00475	304	402	450	502	401	475	361	497	452	442	host	gene-VC_RS00475
gene-VC_RS09715	1303	1399	1444	1661	1438	1360	1294	1677	1771	1667	host	pabC
gene-VC_RS02755	4204	4160	4441	4451	4334	4496	4667	4351	4170	3991	host	recA
gene-VC_RS15925	620	665	635	605	1245	1140	1261	1457	1657	1274	host	gene-VC_RS15925
gene-VC_RS05130	4953	5247	6435	6149	4563	4006	3925	1725	1795	1518	host	gene-VC_RS05130
gene-VC_RS03305	150	170	178	139	249	251	214	412	405	391	host	gene-VC_RS03305
gene-VC_RS05770	794	797	785	820	1246	1372	1338	1448	1349	1285	host	gene-VC_RS05770
gene-VPVV882_gp36	5815	6676	2613	3030	38193	50661	43059	49100	38758	54541	phage	gene-VPVV882_gp36
gene-VC_RS00135	1568	1528	1648	1548	703	505	582	844	818	807	host	ilvM
gene-VC_RS17715	1940	1947	1770	1731	3353	2791	3224	4343	4376	3679	host	gene-VC_RS17715
gene-VC_RS03455	493	507	504	524	628	598	600	581	521	534	host	fkpB
gene-VC_RS15860	833	941	899	993	1327	1242	1362	2762	3023	2762	host	gene-VC_RS15860
gene-VC_RS09195	496	643	605	584	1284	1310	1243	2421	2754	2341	host	gene-VC_RS09195
gene-VC_RS11655	944	893	853	954	1064	981	1110	1433	1274	1400	host	fldB
gene-VC_RS16545	629	692	620	635	1171	1090	1197	1352	1427	1142	host	gene-VC_RS16545
gene-VC_RS07975	205	235	146	213	390	346	354	539	572	483	host	gene-VC_RS07975
gene-VC_RS04790	5592	7188	8153	8204	1622	1367	1291	1052	946	911	host	cysK
gene-VC_RS06985	717	722	876	780	968	978	1028	1161	1217	1012	host	gene-VC_RS06985
gene-VC_RS04255	1635	1635	1572	1496	2125	1976	2321	2303	2131	1932	host	nadK
gene-VC_RS00290	4651	3232	3646	3059	2570	4755	2908	2285	1861	1836	host	gene-VC_RS00290
gene-VC_RS12950	485	533	523	601	702	694	634	681	724	605	host	fieF
gene-VC_RS16840	2200	2478	2824	2633	2392	2123	2252	3065	3236	2903	host	gene-VC_RS16840
gene-VC_RS09520	166	190	134	159	246	284	242	408	457	398	host	yfbR
gene-VC_RS02735	2840	2880	2843	2898	734	658	625	606	603	547	host	cysT
gene-VC_RS11665	586	712	576	749	989	1055	1009	1434	1261	1386	host	nadC
gene-VC_RS04605	30	61	69	63	109	96	67	124	106	131	host	vpsK
gene-VC_RS07325	17	33	28	36	62	59	53	89	107	80	host	gene-VC_RS07325
gene-VC_RS18840	16	13	14	12	31	30	30	52	49	55	host	gene-VC_RS18840
gene-VC_RS16850	2094	2377	2797	3188	2830	2632	2635	3168	3441	3122	host	gene-VC_RS16850
gene-VC_RS08930	908	947	1014	921	1354	1328	1521	1862	2133	1720	host	gene-VC_RS08930
gene-VC_RS13200	476	523	494	588	550	585	579	637	624	636	host	dtd
gene-VC_RS03475	865	854	800	1004	916	1098	924	1202	1137	1177	host	gene-VC_RS03475
gene-VC_RS02035	1561	1720	1733	4206	1484	1360	1448	1691	1660	1676	host	mshL
gene-VC_RS03630	503	541	556	601	463	432	456	522	533	508	host	phoB
gene-VC_RS08525	1430	1515	1509	1495	1390	1351	1421	2572	2893	2339	host	gene-VC_RS08525
gene-VC_RS16265	257	353	315	374	674	643	624	937	875	969	host	gene-VC_RS16265
gene-VC_RS00405	476	526	432	439	953	1021	1076	1434	1228	1300	host	rmuC
gene-VC_RS05785	1725	1815	1592	1738	2220	2147	2325	2890	3011	2666	host	cydD
gene-VC_RS04620	469	789	521	558	1551	1534	1539	3940	3699	4009	host	gene-VC_RS04620
gene-VC_RS11010	1640	1425	1460	2151	2070	2127	2077	2106	1865	1960	host	gene-VC_RS11010
gene-VC_RS13675	33108	31343	37904	30634	7569	5345	5984	3503	2580	2522	host	gene-VC_RS13675
gene-VC_RS01490	1374	1573	1447	1511	1532	1570	1530	1913	2096	1911	host	ubiD
gene-VC_RS11335	72	124	112	142	213	267	193	205	233	213	host	gene-VC_RS11335
gene-VC_RS12125	3985	3761	4140	3459	1480	1280	1423	987	971	792	host	gene-VC_RS12125
gene-VC_RS03920	131	149	128	145	271	257	230	414	410	389	host	gene-VC_RS03920
gene-VC_RS17265	414	442	373	311	631	658	687	1283	1317	1150	host	gene-VC_RS17265
gene-VC_RS11755	12498	8968	7459	8122	20566	9676	13686	9834	8960	8361	host	gene-VC_RS11755
gene-VC_RS11885	775	1097	1064	1207	832	774	714	1263	1151	1164	host	rpoE
gene-VC_RS08025	163	172	189	170	219	234	184	351	366	379	host	gene-VC_RS08025
gene-VC_RS04040	327	279	269	328	351	251	358	317	322	313	host	gene-VC_RS04040
gene-VC_RS14365	111	159	99	93	398	487	460	635	685	643	host	emrD
gene-VC_RS12485	13903	15660	16698	14427	22939	19698	20725	63657	88572	18811	host	rplP
gene-VC_RS06260	43	51	45	40	104	79	92	173	201	141	host	gene-VC_RS06260
gene-VC_RS03545	1297	1422	1368	1374	2118	2190	1964	2601	2840	2421	host	gene-VC_RS03545
gene-VC_RS12740	8664	8296	9117	8391	2031	1696	24140	1855	1464	1432	host	gene-VC_RS12740
gene-VC_RS16290	33	35	33	41	88	76	76	131	126	139	host	phnW
gene-VC_RS08075	646	742	786	861	1173	1158	1102	1696	1704	1732	host	gene-VC_RS08075
gene-VC_RS01070	28507	30119	29132	24253	22185	16289	21820	16570	16248	13961	host	rpmB
gene-VC_RS06335	1085	1176	1125	1062	1502	1668	1622	2235	2137	2100	host	gene-VC_RS06335
gene-VC_RS16520	281	296	273	243	366	385	346	516	535	488	host	gene-VC_RS16520
gene-VC_RS02955	1356	1442	1416	1344	1270	1149	1170	1737	1822	1602	host	gene-VC_RS02955
gene-VC_RS18005	330	424	464	406	243	225	231	260	230	189	host	gene-VC_RS18005
gene-VC_RS06405	125	140	102	126	196	173	188	305	323	319	host	gene-VC_RS06405
gene-VC_RS11515	37	33	50	37	15	19	21	20	30	15	host	gene-VC_RS11515
gene-VC_RS02805	3471	3201	3558	3024	4861	5493	4019	3037	3053	2576	host	gene-VC_RS02805
gene-VC_RS03795	2702	3253	3130	3352	5861	6563	5845	9055	8738	8046	host	gene-VC_RS03795
gene-VC_RS01610	60831	55840	63541	50529	48172	46618	52392	75990	46957	39904	host	rplL
gene-VC_RS10645	4175	4518	4950	4328	3426	3017	3708	2761	2950	2414	host	gene-VC_RS10645
gene-VC_RS09265	9023	9480	9905	9400	10138	10180	11248	12537	10837	10940	host	clpX
gene-VC_RS10775	516	566	636	749	640	681	663	1317	535	677	host	lpcA
gene-VC_RS16530	244	236	225	235	287	292	363	474	477	404	host	glpD
gene-VC_RS15910	988	1041	1069	1127	1185	1106	1051	1662	1777	1644	host	gene-VC_RS15910
gene-VC_RS01495	149	185	178	202	196	181	173	226	201	204	host	gene-VC_RS01495
gene-VC_RS16305	1145	1177	1292	1081	1621	1500	1650	1910	1970	1679	host	rnk
gene-VC_RS08780	147	174	167	163	306	319	288	472	527	407	host	gene-VC_RS08780
gene-VC_RS16495	70	103	66	87	96	82	78	138	134	118	host	gene-VC_RS16495
gene-VC_RS00875	1021	947	1473	1594	1255	1066	1071	969	1012	762	host	gene-VC_RS00875
gene-VC_RS08315	1155	1270	1324	1306	1174	1236	1049	1411	1522	1327	host	elyC
gene-VC_RS08645	70	78	71	105	180	163	170	212	204	190	host	gene-VC_RS08645
gene-VC_RS18535	311	294	271	277	470	499	508	665	776	589	host	gene-VC_RS18535
gene-VC_RS06175	1934	2052	2059	2070	2491	2567	2632	3584	3470	3258	host	gene-VC_RS06175
gene-VC_RS02825	1988	2338	2564	2446	1921	1947	1904	2476	2390	2352	host	oadA
gene-VC_RS17705	622	591	670	574	888	968	937	991	1218	973	host	gene-VC_RS17705
gene-VC_RS15050	767	817	662	734	1515	1584	1660	3005	3489	2919	host	gene-VC_RS15050
gene-VC_RS07695	169	210	173	230	345	293	324	519	559	503	host	gene-VC_RS07695
gene-VC_RS16615	33	41	39	33	57	59	56	100	105	87	host	gene-VC_RS16615
gene-VC_RS17755	135	156	166	168	314	291	264	411	468	399	host	gene-VC_RS17755
gene-VC_RS02060	445	540	624	639	363	376	376	425	494	449	host	gene-VC_RS02060
gene-VC_RS16855	58	51	63	51	81	82	79	98	109	94	host	gene-VC_RS16855
gene-VC_RS01670	1166	1463	1940	1408	1783	1976	1815	2319	2139	1990	host	asd
gene-VC_RS03815	689	926	907	1048	1400	1462	1163	1741	1479	1746	host	gene-VC_RS03815
gene-VC_RS05330	392	409	397	383	319	289	331	363	408	355	host	gene-VC_RS05330
gene-VC_RS13230	343	325	338	366	344	367	400	327	310	291	host	gene-VC_RS13230
gene-VC_RS15295	793	813	913	862	1483	1431	1625	2416	3469	2336	host	gene-VC_RS15295
gene-VC_RS17015	956	873	760	792	1100	1006	1275	1398	1360	1274	host	gene-VC_RS17015
gene-VC_RS17035	870	1039	800	853	2362	2335	2601	4101	4260	3639	host	gene-VC_RS17035
gene-VC_RS10850	212	250	270	231	296	274	300	461	402	449	host	rnhB
gene-VC_RS10260	1190	1343	1290	1427	922	993	871	1176	1144	1006	host	fliG
gene-VC_RS03365	5401	5594	5061	4849	8348	53526	8962	10644	10723	8964	host	lysS
gene-VC_RS05425	1356	1496	1400	1282	2552	2583	2508	4352	5200	4038	host	dusC
gene-VC_RS07650	57	84	86	94	144	132	131	264	292	256	host	sodC
gene-VC_RS01205	9694	7527	7879	11647	4898	3589	5173	4722	5494	4488	host	gene-VC_RS01205
gene-VC_RS15115	286	357	414	375	456	393	432	649	712	687	host	gene-VC_RS15115
gene-VC_RS02485	839	870	879	967	1241	1298	1246	1287	1307	1264	host	glmS
gene-VC_RS11610	14800	39932	48529	60538	17712	22403	11919	23546	5847	26024	host	rnpB
gene-VC_RS08505	654	795	786	881	843	723	811	1130	1010	1074	host	gene-VC_RS08505
gene-VC_RS10065	2407	2843	3226	2996	1206	1028	1147	1066	1153	965	host	sdhD
gene-VC_RS06560	289	396	417	375	460	509	484	651	556	650	host	gene-VC_RS06560
gene-VC_RS03925	2894	2923	3269	3404	2178	2029	1876	2352	2425	2244	host	gene-VC_RS03925
gene-VC_RS02920	21460	23108	24910	59174	18597	18642	20936	17900	13457	15069	host	rpsI
gene-VC_RS04270	2003	1863	1973	2266	1929	1603	1585	4871	4422	4549	host	dnaJ
gene-VC_RS08295	2831	3165	3121	2867	3002	3117	3015	5752	6085	5319	host	mukB
gene-VC_RS06940	12479	13007	13300	11642	12518	11135	14487	11956	11276	9997	host	gene-VC_RS06940
gene-VC_RS00665	492	502	642	554	534	425	534	442	451	375	host	gene-VC_RS00665
gene-VC_RS07525	193	201	192	219	352	376	330	593	660	620	host	gene-VC_RS07525
gene-VC_RS12310	398	427	377	397	561	533	501	976	1083	1022	host	gene-VC_RS12310
gene-VC_RS16130	134	160	153	161	193	165	175	219	196	194	host	gene-VC_RS16130
gene-VC_RS18510	119	208	246	325	170	170	135	126	98	108	host	gene-VC_RS18510
gene-VC_RS04785	16536	16864	18737	16987	15165	13330	14565	14140	17504	12474	host	gene-VC_RS04785
gene-VC_RS11020	1168	1402	1236	1247	2373	2437	2254	3801	3848	3505	host	rimK
gene-VC_RS00245	143	174	157	170	262	289	255	348	313	309	host	gene-VC_RS00245
gene-VC_RS12120	1003	919	991	884	730	680	747	682	669	575	host	pyrI
gene-VC_RS15495	593	690	719	685	925	725	903	1226	1465	1146	host	gene-VC_RS15495
gene-VC_RS04205	2165	2293	2053	2142	3797	3505	3972	6017	6499	6119	host	acfD
gene-VC_RS16285	103	140	136	134	265	196	215	274	368	337	host	gene-VC_RS16285
gene-VC_RS01065	93	83	98	98	88	102	91	113	98	108	host	gene-VC_RS01065_gene_radC
gene-VC_RS02280	6790	5722	4976	3378	2048	2184	3007	1669	939	1293	host	gene-VC_RS02280
gene-VC_RS15775	696	841	782	659	1780	1813	2056	3240	3897	3121	host	gene-VC_RS15775
gene-VC_RS12445	15956	20185	20655	19975	15604	15530	18464	19189	18330	16827	host	rplF
gene-VC_RS17270	87	85	69	78	169	152	159	262	331	276	host	gene-VC_RS17270
gene-VC_RS02145	1909	2373	2665	2724	2407	2319	2450	2150	2036	2011	host	rraB
gene-VC_RS01185	2206	2702	2921	4327	4598	2933	4491	3476	3360	3173	host	gene-VC_RS01185
gene-VC_RS17530	1519	1669	2051	2027	1854	1608	1680	1984	2060	1756	host	makA
gene-VC_RS06015	296	225	218	273	200	183	202	246	306	230	host	gene-VC_RS06015
gene-VC_RS07970	157	198	199	194	213	232	251	287	288	309	host	gene-VC_RS07970
gene-VC_RS00650	214	244	286	287	261	201	214	246	547	273	host	gene-VC_RS00650
gene-VC_RS16750	288	338	308	280	614	603	657	1013	1041	900	host	gene-VC_RS16750_gene_pyk
gene-VC_RS12090	439	468	445	457	550	618	504	804	914	802	host	gene-VC_RS12090
gene-VC_RS06640	1521	1611	1576	1555	1996	2204	2122	3172	3553	3068	host	gene-VC_RS06640
gene-VC_RS17200	540	582	604	620	969	925	991	1323	1262	1233	host	gene-VC_RS17200
gene-VC_RS16735	389	452	417	443	764	790	749	1126	1191	1017	host	gene-VC_RS16735
gene-VC_RS04475	276	324	344	315	554	623	580	803	828	796	host	gene-VC_RS04475
gene-VC_RS11115	2116	2025	1919	1905	1787	1602	1816	2476	2630	2260	host	gene-VC_RS11115
gene-VC_RS11450	437	420	503	452	393	450	345	298	310	263	host	gene-VC_RS11450
gene-VC_RS13985	91	130	112	112	121	136	123	236	201	184	host	rbsB
gene-VC_RS06760	165	193	197	159	187	165	171	277	376	257	host	gene-VC_RS06760
gene-VC_RS08825	1857	2275	1637	1841	7565	7404	8187	10320	9486	9348	host	gene-VC_RS08825
gene-VC_RS19130	308	349	331	315	535	478	508	765	852	726	host	gene-VC_RS19130
gene-VC_RS13240	530	606	561	555	650	687	737	868	886	798	host	glnG
gene-VC_RS14585	238	273	260	267	347	358	352	416	434	389	host	gene-VC_RS14585
gene-VC_RS00415	863	988	3002	976	938	931	911	1162	1070	1137	host	gene-VC_RS00415
gene-VC_RS00065	4015	4624	9584	4561	4147	4605	4241	5762	5227	5213	host	gyrB
gene-VC_RS00080	2421	2488	2513	2283	2400	2103	2200	3243	3515	2903	host	gene-VC_RS00080
gene-VC_RS13845	1797	1735	1853	1750	1768	1682	1803	1951	1764	1731	host	gene-VC_RS13845
gene-VC_RS00740	18961	7876	11576	49333	19110	6959	20360	5440	8663	10705	host	gene-VC_RS00740
gene-VC_RS00225	675	754	735	971	2641	859	947	1018	973	1003	host	gene-VC_RS00225
gene-VC_RS11210	286	422	425	427	480	420	452	515	558	445	host	gene-VC_RS11210
gene-VC_RS17935	426	484	521	597	654	610	587	748	789	742	host	gene-VC_RS17935
gene-VC_RS02130	628	665	648	672	680	658	695	743	745	719	host	gene-VC_RS02130
gene-VC_RS12430	4568	5879	4929	4763	4479	4298	5126	5756	4888	7311	host	rpmD
gene-VC_RS07690	82	98	86	76	197	175	178	428	409	364	host	gene-VC_RS07690
gene-VC_RS17095	702	804	777	840	646	678	610	787	733	706	host	tesA
gene-VC_RS09515	2535	2161	1983	2035	1091	1093	1047	1308	1183	1109	host	gene-VC_RS09515
gene-VC_RS18040	61	60	59	70	129	133	116	226	229	177	host	gene-VC_RS18040
gene-VC_RS00155	1352	1608	1782	1687	1343	1271	1182	1346	1215	1256	host	gene-VC_RS00155
gene-VC_RS09060	1723	1874	1876	1656	2378	2362	2407	3079	3307	2781	host	lpxK
gene-VPVV882_gp40	3443	6846	1022	1102	39725	43327	48225	72934	84726	79632	phage	gene-VPVV882_gp40
gene-VC_RS00870	139	139	171	153	297	262	267	325	455	313	host	vspR
gene-VC_RS02475	3974	3985	3680	3652	4928	5538	5783	5871	5351	5191	host	pykF
gene-VC_RS08810	114	149	152	146	238	191	196	367	431	391	host	gene-VC_RS08810
gene-VC_RS06960	966	1037	1150	1085	1033	875	1065	1287	1366	1061	host	gene-VC_RS06960
gene-VC_RS03045	1087	1306	1259	1253	1709	1650	1678	2399	2297	2311	host	hrpB
gene-VC_RS05350	118	143	159	147	186	213	208	255	261	226	host	gene-VC_RS05350
gene-VC_RS18150	48	46	50	65	74	66	81	92	95	84	host	gene-VC_RS18150
gene-VC_RS00310	4317	4307	4625	4248	2887	2548	3409	2523	2572	2150	host	gene-VC_RS00310
gene-VC_RS04175	207	224	228	200	205	194	238	406	538	408	host	tcpJ
gene-VC_RS09340	281	254	247	275	386	361	391	665	658	595	host	gene-VC_RS09340
gene-VC_RS13925	267	299	269	328	235	211	236	336	358	299	host	tssH
gene-VC_RS03720	2276	2190	2587	2343	1288	1056	1274	1133	956	940	host	yajC
gene-VC_RS11535	570	538	528	482	934	1162	954	1247	1822	1226	host	gene-VC_RS11535
gene-VC_RS05040	689	754	732	732	1354	1424	1371	2177	2063	1959	host	gene-VC_RS05040
gene-VC_RS02490	1988	1883	1953	2209	540	396	390	308	253	258	host	gene-VC_RS02490
gene-VC_RS10925	1758	2240	2302	2424	2430	2342	2337	2362	2230	2161	host	map
gene-VC_RS03280	6481	8049	8032	8387	9837	10790	10506	12838	12963	11664	host	pnp
gene-VC_RS10815	747	848	861	880	871	934	867	1018	1094	1006	host	gene-VC_RS10815
gene-VC_RS18595	19802	16447	13283	47616	21581	23746	22588	18039	9620	16064	host	gene-VC_RS18595
gene-VC_RS12745	3779	9183	4308	4869	925	866	761	803	707	654	host	argB
gene-VC_RS07175	1389	1998	2626	2695	1645	1485	1156	925	840	861	host	fabA
gene-VC_RS06905	2938	3206	3394	3110	3063	2777	3249	4705	4550	4027	host	potB
gene-VC_RS10315	3890	4285	4692	4630	4433	4738	4534	3883	3350	3437	host	gene-VC_RS10315
gene-VC_RS04870	7241	6063	8327	8338	4505	3700	4216	9387	8149	8212	host	htpG
gene-VC_RS14865	349	425	406	389	631	578	770	1362	1513	1347	host	gene-VC_RS14865
gene-VC_RS15370	172	226	220	204	496	371	437	984	943	1007	host	gene-VC_RS15370
gene-VC_RS07320	16	9	17	18	25	20	17	26	41	36	host	gene-VC_RS07320
gene-VC_RS08370	109	98	143	118	109	116	94	122	130	118	host	gene-VC_RS08370
gene-VC_RS03110	49	60	43	48	84	96	86	159	146	127	host	gene-VC_RS03110
gene-VC_RS15975	2135	2045	2049	1992	3783	3247	4013	5461	6615	5318	host	gene-VC_RS15975
gene-VC_RS11460	917	916	831	836	1159	1168	1172	1534	1630	1459	host	gene-VC_RS11460
gene-VC_RS07980	1128	1342	1390	1527	1871	1844	1678	2172	2104	2101	host	vesC
gene-VC_RS02270	4283	4010	3996	3299	3145	5344	4010	1843	1583	1538	host	gene-VC_RS02270
gene-VC_RS01615	17195	18734	18855	20285	13136	27306	12915	39805	21268	20682	host	rpoB
gene-VC_RS17960	310	322	433	376	345	341	389	420	475	401	host	gene-VC_RS17960
gene-VC_RS13960	741	750	826	780	478	305	467	375	340	395	host	tsiV3
gene-VC_RS14905	293	313	361	324	533	444	510	765	944	778	host	gene-VC_RS14905
gene-VC_RS00670	729	793	858	880	826	825	847	822	858	761	host	rsmD
gene-VC_RS02845	1738	1902	1801	1962	2157	3084	2279	3077	2962	2926	host	gene-VC_RS02845
gene-VC_RS11570	1976	2175	1947	2270	2737	2789	2922	4117	4070	3983	host	ftsW
gene-VC_RS09280	716	704	904	808	561	422	574	1152	823	984	host	gene-VC_RS09280
gene-VC_RS02090	187	190	201	205	181	176	158	333	339	318	host	gene-VC_RS02090
gene-VC_RS07750	388	468	474	453	650	655	677	882	886	824	host	gene-VC_RS07750
gene-VC_RS10765	4850	4808	5397	4918	4053	4065	4198	1753	1687	1416	host	purN
gene-VC_RS11265	639	707	703	706	843	792	833	1097	1051	945	host	gene-VC_RS11265
gene-VC_RS13530	958	949	973	987	1009	1094	979	1046	1162	998	host	gene-VC_RS13530
gene-VC_RS09995	214	300	312	288	426	417	385	585	556	488	host	gene-VC_RS09995
gene-VC_RS14750	544	616	551	530	906	682	1039	1608	2259	1587	host	gene-VC_RS14750
gene-VC_RS14925	235	290	288	313	365	285	321	546	568	539	host	gene-VC_RS14925
gene-VC_RS06835	3022	3254	3408	3219	3831	3528	3953	4906	5348	4581	host	gene-VC_RS06835
gene-VC_RS08085	2134	2149	2129	2029	2171	2132	2048	3332	3488	3082	host	gene-VC_RS08085
gene-VC_RS13415	3583	3698	3727	4152	2566	2271	2512	2247	2066	1947	host	gene-VC_RS13415
gene-VC_RS01200	9730	7558	9951	9690	5973	4697	5906	4967	5678	4785	host	gene-VC_RS01200
gene-VC_RS12475	24777	20176	20170	17439	13957	15034	19366	15977	9696	13338	host	rpsQ
gene-VC_RS12040	4233	2795	5531	9878	6931	2124	3755	7098	5709	5111	host	gene-VC_RS12040
gene-VC_RS04595	174	213	222	229	246	272	275	471	384	411	host	vpsI
gene-VPVV882_gp67	480	608	542	512	1617	1856	1622	2093	1687	2026	phage	gene-VPVV882_gp67
gene-VC_RS12955	80	91	82	76	106	81	101	165	196	152	host	gene-VC_RS12955
gene-VC_RS00380	1617	1626	1979	1851	1404	529	650	605	583	524	host	uspA
gene-VC_RS08980	542	542	565	606	549	578	622	958	1210	983	host	gene-VC_RS08980
gene-VC_RS15730	584	683	626	569	1167	1039	1324	2683	3027	2764	host	gene-VC_RS15730
gene-VC_RS09415	1131	1347	1470	1501	1409	1421	1339	1424	1398	1303	host	gene-VC_RS09415
gene-VC_RS12390	40832	34242	40492	38656	30337	31548	37956	32364	35989	27343	host	rplQ
gene-VC_RS09465	82	96	82	100	139	137	130	167	161	173	host	gene-VC_RS09465
gene-VC_RS12835	5210	2526	5597	4216	1708	1310	1323	1521	1424	1323	host	gene-VC_RS12835
gene-VC_RS08635	411	535	473	493	943	864	994	1427	1498	1357	host	gene-VC_RS08635
gene-VC_RS03235	29989	8266	9972	8971	9345	12874	14413	5539	9251	68137	host	secG
gene-VC_RS07640	187	203	173	185	315	320	317	578	612	563	host	gene-VC_RS07640
gene-VC_RS12070	2979	2970	3034	2947	3237	3417	3801	3268	3633	2864	host	lptF
gene-VC_RS02935	4084	5489	6460	11925	3203	10277	2679	3596	3292	3425	host	gene-VC_RS02935
gene-VC_RS08130	1975	1881	1854	1835	2150	2171	2133	2890	3138	2576	host	gene-VC_RS08130
